Airline,Seat_Comfort,Cabin_Staff_Service,Food___Beverages,Food___Beverages,Ground_Service,Inflight_Entertainment,Wifi___Connectivity,Value_For_Money
ANA_All_Nippon_Airways,4.411764705882353,4.705882352941177,4.529411764705882,4.529411764705882,4.235294117647059,4.117647058823529,3.823529411764706,4.0588235294117645
Aegean_Airlines,3.5714285714285716,4.5,4.0,4.0,4.285714285714286,3.4285714285714284,3.7857142857142856,4.142857142857143
Aer_Lingus,2.875,2.8125,2.5,2.5,1.9375,2.625,2.0,2.375
Aerolineas_Argentinas,2.9166666666666665,3.0833333333333335,1.75,1.75,2.6666666666666665,2.25,2.25,2.4166666666666665
Aeromexico,2.466666666666667,1.9333333333333333,1.8,1.8,1.7333333333333334,2.2,1.6666666666666667,1.6666666666666667
Air_Astana,4.5,4.875,4.3125,4.3125,4.4375,4.25,3.875,3.9375
Air_Berlin,3.769230769230769,3.6153846153846154,3.230769230769231,3.230769230769231,3.3076923076923075,3.230769230769231,3.230769230769231,3.8461538461538463
Air_China,2.3076923076923075,2.6923076923076925,2.0,2.0,2.3076923076923075,1.9230769230769231,1.0769230769230769,2.8461538461538463
Air_Europa,2.8125,2.8125,2.5625,2.5625,2.25,2.5,2.3125,2.25
Air_France,3.4285714285714284,4.0476190476190474,3.761904761904762,3.761904761904762,3.4761904761904763,3.9047619047619047,3.9047619047619047,3.6666666666666665
Air_Mauritius,2.8461538461538463,3.0,2.230769230769231,2.230769230769231,2.230769230769231,2.6153846153846154,1.6923076923076923,2.230769230769231
Air_New_Zealand,3.0526315789473686,3.1052631578947367,3.0,3.0,2.736842105263158,3.0526315789473686,3.0,2.5789473684210527
Alaska_Airlines,2.0,2.7777777777777777,2.1666666666666665,2.1666666666666665,2.0,1.8333333333333333,2.2222222222222223,1.9444444444444444
Asiana_Airlines,4.533333333333333,4.933333333333334,4.8,4.8,4.466666666666667,4.0,4.133333333333334,4.866666666666666
Batik_Air,2.3076923076923075,2.3846153846153846,1.8461538461538463,1.8461538461538463,2.1538461538461537,1.7692307692307692,1.2307692307692308,2.1538461538461537
British_Airways,2.6,2.2666666666666666,2.0,2.0,2.6666666666666665,2.7333333333333334,2.066666666666667,2.2
CSA_Czech_Airlines,2.1666666666666665,2.5833333333333335,2.0833333333333335,2.0833333333333335,2.25,1.3333333333333333,1.25,2.0833333333333335
Cathay_Pacific_Airways,3.772727272727273,4.0,3.5,3.5,4.045454545454546,4.090909090909091,3.1818181818181817,3.5454545454545454
China_Airlines,3.9,3.95,3.4,3.4,3.45,3.6,3.15,3.85
China_Eastern_Airlines,2.5,2.625,2.375,2.375,2.5,2.4375,1.5625,3.25
Copa_Airlines,2.25,2.9166666666666665,2.0,2.0,1.8333333333333333,1.75,1.3333333333333333,1.75
Delta_Air_Lines,2.642857142857143,3.4285714285714284,2.5,2.5,2.357142857142857,3.2142857142857144,2.0714285714285716,2.7142857142857144
EVA_Air,3.6956521739130435,4.391304347826087,3.8260869565217392,3.8260869565217392,4.086956521739131,3.782608695652174,3.4782608695652173,4.086956521739131
El_Al_Israel_Airlines,3.347826086956522,4.043478260869565,3.391304347826087,3.391304347826087,3.217391304347826,3.260869565217391,3.347826086956522,3.4782608695652173
Emirates,2.696969696969697,2.757575757575758,2.727272727272727,2.727272727272727,2.727272727272727,3.303030303030303,2.1818181818181817,2.515151515151515
Etihad_Airways,2.2857142857142856,2.380952380952381,1.9523809523809523,1.9523809523809523,2.1904761904761907,2.3333333333333335,2.3333333333333335,1.8571428571428572
Hainan_Airlines,4.857142857142857,5.0,5.0,5.0,4.5,4.571428571428571,4.071428571428571,4.857142857142857
Japan_Airlines,3.9130434782608696,4.217391304347826,3.782608695652174,3.782608695652174,4.086956521739131,3.608695652173913,3.608695652173913,4.043478260869565
Kuwait_Airways,3.5,2.875,3.1875,3.1875,2.4375,3.0625,2.1875,2.6875
LOT_Polish_Airlines,2.2857142857142856,2.2142857142857144,1.7857142857142858,1.7857142857142858,1.3571428571428572,2.142857142857143,1.1428571428571428,1.6428571428571428
Lufthansa,2.5833333333333335,3.0833333333333335,2.4166666666666665,2.4166666666666665,2.8333333333333335,2.3333333333333335,1.75,2.5
Luxair,3.8181818181818183,3.090909090909091,3.3636363636363638,3.3636363636363638,3.3636363636363638,2.3636363636363638,1.0,3.5454545454545454
Malaysia_Airlines,2.5,2.0833333333333335,2.0,2.0,2.5,2.5,1.75,1.9166666666666667
Philippine_Airlines,2.8095238095238093,4.0476190476190474,3.0952380952380953,3.0952380952380953,2.380952380952381,2.142857142857143,1.5238095238095237,2.3333333333333335
Qantas_Airways,2.8,3.1,2.35,2.35,2.7,2.35,2.55,2.35
Qatar_Airways,3.84375,4.59375,3.84375,3.84375,3.84375,3.96875,3.3125,3.625
Royal_Jordanian_Airlines,2.923076923076923,2.4615384615384617,2.3846153846153846,2.3846153846153846,2.076923076923077,2.3846153846153846,1.9230769230769231,2.3076923076923075
SATA_Air_Azores,2.0714285714285716,2.9285714285714284,2.2857142857142856,2.2857142857142856,2.0,1.8571428571428572,1.7142857142857142,2.2857142857142856
